n,m,seed,LB_type,time_ms
8,10,715827882,1,643.9988000201993
8,10,715827882,2,725.3021000069566
8,10,715827882,3,345.6412000232376
8,10,715827882,4,254.72799997078255
8,10,954437176,0,1542.5289000268094
8,10,954437176,1,1171.5252000140026
8,10,954437176,2,1747.4096000078134
8,10,954437176,3,987.5796000123955
8,10,954437176,4,881.6868000430986
8,10,1193046470,0,487.63059999328107
8,10,1193046470,1,482.5523999752477
8,10,1193046470,2,777.6030999957584
8,10,1193046470,3,395.01050004037097
8,10,1193046470,4,416.49569995934144
8,10,1431655764,0,1526.8097999505699
8,10,1431655764,1,1149.5292999898084
8,10,1431655764,2,1573.0805000057444
8,10,1431655764,3,908.0527999904007
8,10,1431655764,4,557.6349000330083
8,10,1670265058,0,400.9762000059709
8,10,1670265058,1,193.5049999738112
8,10,1670265058,2,287.00240002945065
8,10,1670265058,3,202.8837000252679
8,10,1670265058,4,195.82409999566153
8,10,1908874352,0,2499.091000005137
8,10,1908874352,1,1032.8342999564484
8,10,1908874352,2,1360.4300000006333
8,10,1908874352,3,793.6746000195853
8,10,1908874352,4,594.8678000131622
8,10,2147483646,0,332.448800036218
8,10,2147483646,1,355.55330000352114
8,10,2147483646,2,600.3789000096731
8,10,2147483646,3,489.22220000531524
8,10,2147483646,4,411.54880000976846
8,20,0,0,9.87329997587949
8,20,0,1,9.492799988947809
8,20,0,2,32.26550004910678
8,20,0,3,27.529199956916273
8,20,0,4,42.69590001786128
8,20,238609294,0,3571.393500023987
8,20,238609294,1,2508.9914000127465
8,20,238609294,2,4808.901799959131
8,20,238609294,3,2682.5521999853663
8,20,238609294,4,1544.4041999871843
8,20,477218588,0,2450.184100016486
8,20,477218588,1,2178.620500024408
8,20,477218588,2,4486.708200012799
8,20,477218588,3,2497.9680000105873
8,20,477218588,4,1647.0033000223339
8,20,715827882,0,1060.9712000004947
8,20,715827882,1,1121.3054999825545
8,20,715827882,2,2503.1628000433557
8,20,715827882,3,1628.1055000144988
8,20,715827882,4,1215.119800006505
8,20,954437176,0,4659.672900044825
8,20,954437176,1,4808.846400002949
8,20,954437176,2,10783.319899986964
8,20,954437176,3,5458.2903000409715
8,20,954437176,4,4808.819800033234
8,20,1193046470,0,2998.4928999911062
8,20,1193046470,1,3020.049399987329
8,20,1193046470,2,6732.476799981669
8,20,1193046470,3,3416.323600045871
8,20,1193046470,4,2832.4569999822415
8,20,1431655764,0,2237.593099998776
8,20,1431655764,1,2416.58419999294
8,20,1431655764,2,5545.848400040995
8,20,1431655764,3,3335.544600035064
8,20,1431655764,4,2448.850799992215
8,20,1670265058,0,2195.2504999935627
8,20,1670265058,1,2008.7316000135615
8,20,1670265058,2,4495.0911000487395
8,20,1670265058,3,2741.6552000213414
8,20,1670265058,4,1560.2720000315458
8,20,1908874352,0,2020.8895999821834
8,20,1908874352,1,1655.8906999998726
8,20,1908874352,2,3853.1196000403725
8,20,1908874352,3,2142.4397000228055
8,20,1908874352,4,1447.9516000137664
8,20,2147483646,0,2057.8555000247434
8,20,2147483646,1,2150.877900014166
8,20,2147483646,2,4374.421399959829
8,20,2147483646,3,2412.68469998613
8,20,2147483646,4,1580.439999990631
10,5,0,0,3.7508999812416732
10,5,0,1,4.131300025619566
10,5,0,2,5.486899986863136
10,5,0,3,5.042799981310964
10,5,0,4,5.819599959068
10,5,238609294,0,36286.772200022824
10,5,238609294,1,5876.010500011034
10,5,238609294,2,4784.951999958139
10,5,238609294,3,2477.6123000192456
10,5,238609294,4,2041.4699999964796
10,5,477218588,0,333.8484999840148
10,5,477218588,1,203.72550003230572
10,5,477218588,2,233.37999999057502
10,5,477218588,3,180.26649998500943
10,5,477218588,4,166.37069999706
10,5,715827882,0,57420.45550001785
10,5,715827882,1,19729.304199980106
10,5,715827882,2,19698.503800027538
10,5,715827882,3,11199.611800024286
10,5,715827882,4,8023.53420003783
10,5,954437176,0,15897.277900017798
10,5,954437176,1,5665.744700003415
10,5,954437176,2,6198.414499987848
10,5,954437176,3,3146.6774999862537
10,5,954437176,4,184.69689995981753
10,5,1193046470,0,36.72889998415485
10,5,1193046470,1,39.83490000246093
10,5,1193046470,2,51.85320001328364
10,5,1193046470,3,46.690499992109835
10,5,1193046470,4,51.597599987871945
10,5,1431655764,0,18325.835399969947
10,5,1431655764,1,8638.289299968164
10,5,1431655764,2,9137.915100029204
10,5,1431655764,3,5500.115500006359
10,5,1431655764,4,795.0966999633238
10,5,1670265058,0,384.7454999922775
10,5,1670265058,1,188.79770004423335
10,5,1670265058,2,176.47529998794198
10,5,1670265058,3,124.22499997774139
10,5,1670265058,4,119.8934999993071
10,5,1908874352,0,80400.95250000013
10,5,1908874352,1,66108.13359997701
10,5,1908874352,2,75842.70129998913
10,5,1908874352,3,49197.25579995429
10,5,1908874352,4,86.0497000394389
10,5,2147483646,0,6303.740700008348
10,5,2147483646,1,4854.379000025801
10,5,2147483646,2,5624.125400034245
10,5,2147483646,3,3334.310300007928
10,5,2147483646,4,1864.1189999761991
10,10,0,0,7.493599958252162
10,10,0,1,8.078399987425655
10,10,0,2,13.394800014793873
10,10,0,3,11.59070001449436
10,10,0,4,13.18780001020059
10,10,238609294,0,64626.32850004593
10,10,238609294,1,12094.88600003533
10,10,238609294,2,13542.709800007287
10,10,238609294,3,6516.521499957889
10,10,238609294,4,3131.923699984327
10,10,477218588,0,34558.951499988325
10,10,477218588,1,10054.092300008051
10,10,477218588,2,13458.800999971572
10,10,477218588,3,6756.470499967691
10,10,477218588,4,3077.291800000239
10,10,715827882,0,32588.369800010696
10,10,715827882,1,10986.816200020257
10,10,715827882,2,13393.882500007749
10,10,715827882,3,5583.934599999338
10,10,715827882,4,3343.074099975638
10,10,954437176,0,42388.74179997947
10,10,954437176,1,15514.43380001001
10,10,954437176,2,18628.500999999233
10,10,954437176,3,10130.97860000562
10,10,954437176,4,7391.372399986722
10,10,1193046470,0,1787.100899964571
10,10,1193046470,1,1802.6127999764867
10,10,1193046470,2,2842.1133999945596
10,10,1193046470,3,1743.4465999831446
10,10,1193046470,4,1621.2267000228167
10,10,1431655764,0,22623.61020001117
10,10,1431655764,1,13913.714999973308
10,10,1431655764,2,19307.14720004471
10,10,1431655764,3,10750.037999998312
10,10,1431655764,4,4584.674199984875
10,10,1670265058,0,3032.77170000365
10,10,1670265058,1,1392.9760999744758
10,10,1670265058,2,2011.1560999648646
10,10,1670265058,3,1357.2795999934897
10,10,1670265058,4,1160.9620000235736
10,10,1908874352,0,86525.19670000765
10,10,1908874352,1,36117.29949997971
10,10,1908874352,2,43392.54750002874
10,10,1908874352,3,26227.684399986174
10,10,1908874352,4,13958.245099987835
10,10,2147483646,0,3032.9109000158496
10,10,2147483646,1,3094.150900025852
10,10,2147483646,2,5008.4786000079475
10,10,2147483646,3,3607.4849999859
10,10,2147483646,4,2982.688599964604
10,20,0,0,14.316299988422543
10,20,0,1,16.879400005564094
10,20,0,2,37.33950003515929
10,20,0,3,29.444199986755848
10,20,0,4,31.910200021229684
10,20,238609294,0,141043.39060001075
10,20,238609294,1,60440.851300023496
10,20,238609294,2,98538.71440002695
10,20,238609294,3,49229.60259998217
10,20,238609294,4,25898.92589999363
10,20,477218588,0,80649.78199999314
10,20,477218588,1,41344.0050999634
10,20,477218588,2,65943.78899998264
10,20,477218588,3,33032.69210003782
10,20,477218588,4,19316.4373000036
10,20,715827882,0,10143.856999988202
10,20,715827882,1,10851.945300004445
10,20,715827882,2,23640.644099970814
10,20,715827882,3,15445.131300017238
10,20,715827882,4,12307.75660002837
10,20,954437176,0,94144.77750001242
10,20,954437176,1,84743.56009997427
10,20,954437176,2,169294.2061999929
10,20,954437176,3,78521.67690003989
